"BehaviorSpace results (NetLogo 6.2.0)"
"epidemic.nlogo"
"experiment_2"
"02/17/2021 17:10:12:810 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","65","0","65"
"[run number]","density","infectioness","mortality","speed","[step]","infected","cured","dead"
"1","0.9","0.9","1.4","1","0","0","0","0"
"2","0.9","0.9","1.4","1","0","0","0","0"
"4","0.9","0.9","1.4","1","0","0","0","0"
"3","0.9","0.9","1.4","1","0","0","0","0"
"3","0.9","0.9","1.4","1","1","9","0","0"
"2","0.9","0.9","1.4","1","1","8","0","0"
"4","0.9","0.9","1.4","1","1","7","0","0"
"2","0.9","0.9","1.4","1","2","11","0","0"
"4","0.9","0.9","1.4","1","2","13","0","0"
"3","0.9","0.9","1.4","1","2","19","0","0"
"1","0.9","0.9","1.4","1","1","8","0","0"
"3","0.9","0.9","1.4","1","3","24","0","0"
"1","0.9","0.9","1.4","1","2","15","0","0"
"2","0.9","0.9","1.4","1","3","16","0","0"
"4","0.9","0.9","1.4","1","3","16","0","0"
"3","0.9","0.9","1.4","1","4","27","0","0"
"1","0.9","0.9","1.4","1","3","19","0","0"
"4","0.9","0.9","1.4","1","4","16","0","0"
"2","0.9","0.9","1.4","1","4","17","0","0"
"1","0.9","0.9","1.4","1","4","23","0","0"
"4","0.9","0.9","1.4","1","5","20","0","0"
"1","0.9","0.9","1.4","1","5","23","0","0"
"2","0.9","0.9","1.4","1","5","18","0","0"
"3","0.9","0.9","1.4","1","5","40","0","0"
"4","0.9","0.9","1.4","1","6","27","0","0"
"2","0.9","0.9","1.4","1","6","25","0","0"
"3","0.9","0.9","1.4","1","6","59","0","0"
"4","0.9","0.9","1.4","1","7","44","0","0"
"2","0.9","0.9","1.4","1","7","37","0","0"
"1","0.9","0.9","1.4","1","6","33","0","0"
"3","0.9","0.9","1.4","1","7","67","0","0"
"1","0.9","0.9","1.4","1","7","44","0","0"
"4","0.9","0.9","1.4","1","8","69","0","0"
"2","0.9","0.9","1.4","1","8","56","0","0"
"3","0.9","0.9","1.4","1","8","90","0","0"
"1","0.9","0.9","1.4","1","8","59","0","0"
"3","0.9","0.9","1.4","1","9","109","0","0"
"4","0.9","0.9","1.4","1","9","80","0","0"
"1","0.9","0.9","1.4","1","9","76","0","0"
"2","0.9","0.9","1.4","1","9","70","0","0"
"3","0.9","0.9","1.4","1","10","118","0","0"
"4","0.9","0.9","1.4","1","10","92","0","0"
"2","0.9","0.9","1.4","1","10","75","0","0"
"2","0.9","0.9","1.4","1","11","87","0","0"
"3","0.9","0.9","1.4","1","11","135","0","0"
"2","0.9","0.9","1.4","1","12","96","0","0"
"3","0.9","0.9","1.4","1","12","151","0","0"
"4","0.9","0.9","1.4","1","11","102","0","0"
"2","0.9","0.9","1.4","1","13","122","0","0"
"3","0.9","0.9","1.4","1","13","167","0","0"
"2","0.9","0.9","1.4","1","14","138","0","0"
"4","0.9","0.9","1.4","1","12","119","0","0"
"2","0.9","0.9","1.4","1","15","163","0","0"
"1","0.9","0.9","1.4","1","10","92","0","0"
"2","0.9","0.9","1.4","1","16","186","0","0"
"2","0.9","0.9","1.4","1","17","208","0","0"
"1","0.9","0.9","1.4","1","11","110","0","0"
"2","0.9","0.9","1.4","1","18","234","0","0"
"1","0.9","0.9","1.4","1","12","129","0","0"
"2","0.9","0.9","1.4","1","19","258","0","0"
"1","0.9","0.9","1.4","1","13","150","0","0"
"4","0.9","0.9","1.4","1","13","154","0","0"
"4","0.9","0.9","1.4","1","14","180","0","0"
"3","0.9","0.9","1.4","1","14","199","0","0"
"4","0.9","0.9","1.4","1","15","195","0","0"
"4","0.9","0.9","1.4","1","16","219","0","0"
"1","0.9","0.9","1.4","1","14","160","0","0"
"3","0.9","0.9","1.4","1","15","230","0","1"
"1","0.9","0.9","1.4","1","15","181","0","0"
"4","0.9","0.9","1.4","1","17","255","0","0"
"3","0.9","0.9","1.4","1","16","244","0","1"
"1","0.9","0.9","1.4","1","16","203","0","0"
"4","0.9","0.9","1.4","1","18","294","0","0"
"3","0.9","0.9","1.4","1","17","264","0","1"
"3","0.9","0.9","1.4","1","18","286","0","1"
"1","0.9","0.9","1.4","1","17","229","0","0"
"2","0.9","0.9","1.4","1","20","281","1","0"
"4","0.9","0.9","1.4","1","19","328","0","0"
"2","0.9","0.9","1.4","1","21","317","1","0"
"3","0.9","0.9","1.4","1","19","322","0","1"
"1","0.9","0.9","1.4","1","18","248","0","1"
"2","0.9","0.9","1.4","1","22","352","1","0"
"1","0.9","0.9","1.4","1","19","284","0","1"
"2","0.9","0.9","1.4","1","23","386","1","0"
"1","0.9","0.9","1.4","1","20","310","0","1"
"3","0.9","0.9","1.4","1","20","378","0","1"
"2","0.9","0.9","1.4","1","24","416","1","0"
"4","0.9","0.9","1.4","1","20","352","1","0"
"2","0.9","0.9","1.4","1","25","457","2","1"
"3","0.9","0.9","1.4","1","21","435","0","1"
"2","0.9","0.9","1.4","1","26","505","8","2"
"4","0.9","0.9","1.4","1","21","381","1","0"
"3","0.9","0.9","1.4","1","22","470","0","2"
"4","0.9","0.9","1.4","1","22","428","1","0"
"1","0.9","0.9","1.4","1","21","345","0","1"
"3","0.9","0.9","1.4","1","23","519","0","2"
"1","0.9","0.9","1.4","1","22","375","0","2"
"4","0.9","0.9","1.4","1","23","478","1","0"
"2","0.9","0.9","1.4","1","27","544","10","2"
"1","0.9","0.9","1.4","1","23","407","0","2"
"4","0.9","0.9","1.4","1","24","519","1","0"
"1","0.9","0.9","1.4","1","24","442","0","2"
"2","0.9","0.9","1.4","1","28","574","16","3"
"4","0.9","0.9","1.4","1","25","545","2","0"
"1","0.9","0.9","1.4","1","25","484","0","3"
"3","0.9","0.9","1.4","1","24","572","0","2"
"2","0.9","0.9","1.4","1","29","620","16","4"
"4","0.9","0.9","1.4","1","26","588","7","0"
"4","0.9","0.9","1.4","1","27","640","12","0"
"1","0.9","0.9","1.4","1","26","535","6","3"
"2","0.9","0.9","1.4","1","30","671","16","5"
"1","0.9","0.9","1.4","1","27","568","11","3"
"1","0.9","0.9","1.4","1","28","605","15","3"
"3","0.9","0.9","1.4","1","25","633","2","2"
"4","0.9","0.9","1.4","1","28","704","15","0"
"1","0.9","0.9","1.4","1","29","662","19","6"
"2","0.9","0.9","1.4","1","31","728","22","5"
"4","0.9","0.9","1.4","1","29","753","17","1"
"1","0.9","0.9","1.4","1","30","711","20","9"
